"","pairid","Cluster_identity","cluster","co_exp_prop","host_only_prop","nested_only_prop","not_expressing_prop"
"559","5869_ID","Early spermatids","3",0.000620347394540943,0.0142679900744417,0.021712158808933,0.963399503722084
"560","5869_ID","Undifferentiated spermatogonia","3",0.00154679040989946,0.00386697602474865,0.0154679040989946,0.979118329466357
"561","5869_ID","Endothelial cells","3",0,0,0,1
"562","5869_ID","Diff.spermatogonia/Preleptotene","3",0,0.00167224080267559,0.00334448160535117,0.994983277591973
"563","5869_ID","Diplotene","3",0.0426229508196721,0.0501170960187354,0.274004683840749,0.633255269320843
"564","5869_ID","Leydig cells","3",0,0,0.0454545454545455,0.954545454545455
"565","5869_ID","Late spermatids","3",0,0.00509164969450102,0.00712830957230143,0.987780040733198
"566","5869_ID","PMCs","3",0.00106044538706257,0.00424178154825027,0.0116648992576882,0.983032873806999
"567","5869_ID","Fibrotic peritubular myoid cells","3",0,0,0,1
"568","5869_ID","Leptotene","3",0,0.00217864923747277,0.0065359477124183,0.991285403050109
"569","5869_ID","Pachytene","3",0.142713567839196,0.127638190954774,0.25929648241206,0.47035175879397
"570","5869_ID","Sertoli cells","3",0.00595238095238095,0.0297619047619048,0.0178571428571429,0.946428571428571
"571","5961_ID","Early spermatids","3",0,0.000620347394540943,0.000620347394540943,0.998759305210918
"572","5961_ID","Macrophages","3",0,0,0,1
"573","5961_ID","Meiotic divisions","3",0.00024588148512417,0.00049176297024834,0.00073764445537251,0.998524711089255
"574","5961_ID","Late spermatids","3",0,0.000509164969450102,0,0.99949083503055
"575","5961_ID","Diplotene","3",0.000468384074941452,0,0.00281030444964871,0.99672131147541
"576","5961_ID","PMCs","3",0,0.00106044538706257,0.00106044538706257,0.997879109225875
"577","5961_ID","Zygotene","3",0,0.0416233090530697,0,0.95837669094693
"578","5961_ID","Fibrotic peritubular myoid cells","3",0,0,0,1
"579","5961_ID","Undifferentiated spermatogonia","3",0,0.00773395204949729,0,0.992266047950503
"580","5961_ID","Leptotene","3",0,0.028322440087146,0,0.971677559912854
"581","5961_ID","Pachytene","3",0.00100502512562814,0.00100502512562814,0.0110552763819095,0.986934673366834
"582","5961_ID","Diff.spermatogonia/Preleptotene","3",0,0.0267558528428094,0.00167224080267559,0.971571906354515
"583","5961_ID","Leydig cells","3",0,0,0,1
"584","5961_ID","Endothelial cells","3",0,0,0,1
"585","5961_ID","Sertoli cells","3",0,0.00595238095238095,0,0.994047619047619
"586","6722_ID","Zygotene","3",0.00312174817898023,0.00936524453694069,0.0332986472424558,0.954214360041623
"587","6722_ID","Macrophages","3",0,0,0,1
"588","6722_ID","PMCs","3",0.00424178154825027,0.00742311770943796,0.0466595970307529,0.941675503711559
"589","6722_ID","Late spermatids","3",0.132382892057026,0.0539714867617108,0.373727087576375,0.439918533604888
"590","6722_ID","Undifferentiated spermatogonia","3",0.00232018561484919,0.00928074245939675,0.0464037122969838,0.94199535962877
"591","6722_ID","Fibrotic peritubular myoid cells","3",0,0.00515463917525773,0.0257731958762887,0.969072164948454
"592","6722_ID","Early spermatids","3",0.154466501240695,0.0347394540942928,0.505583126550868,0.305210918114144
"593","6722_ID","Pachytene","3",0,0.0120603015075377,0.0371859296482412,0.950753768844221
"594","6722_ID","Sertoli cells","3",0,0.0119047619047619,0.0654761904761905,0.922619047619048
"595","6722_ID","Diplotene","3",0,0.00889929742388759,0.0332552693208431,0.957845433255269
"596","6722_ID","Meiotic divisions","3",0.00196705188099336,0.0137693631669535,0.0604868453405459,0.923776739611507
"597","6722_ID","Endothelial cells","3",0,0.0123456790123457,0.0617283950617284,0.925925925925926
"598","6722_ID","Leydig cells","3",0,0,0.0227272727272727,0.977272727272727
"599","6722_ID","Leptotene","3",0,0,0.0261437908496732,0.973856209150327
"600","6722_ID","Diff.spermatogonia/Preleptotene","3",0.00167224080267559,0.00334448160535117,0.040133779264214,0.954849498327759
"601","6724_ID","Diff.spermatogonia/Preleptotene","3",0.112040133779264,0.0602006688963211,0.593645484949833,0.234113712374582
"602","6724_ID","Diplotene","3",0,0,0.000468384074941452,0.999531615925059
"603","6724_ID","Early spermatids","3",0,0,0.000620347394540943,0.999379652605459
"604","6724_ID","Meiotic divisions","3",0,0,0.000983525940496681,0.999016474059503
"605","6724_ID","Macrophages","3",0,0,0,1
"606","6724_ID","Leydig cells","3",0,0,0,1
"607","6724_ID","Zygotene","3",0.00312174817898023,0.0197710718002081,0.0249739854318418,0.95213319458897
"608","6724_ID","Fibrotic peritubular myoid cells","3",0,0,0.00515463917525773,0.994845360824742
"609","6724_ID","Leptotene","3",0.0522875816993464,0.176470588235294,0.213507625272331,0.557734204793028
"610","6724_ID","Undifferentiated spermatogonia","3",0.00464037122969838,0.00773395204949729,0.105955143078113,0.881670533642691
"611","6724_ID","Late spermatids","3",0,0,0.000509164969450102,0.99949083503055
"612","6724_ID","Pachytene","3",0,0,0.00301507537688442,0.996984924623116
"613","6724_ID","Sertoli cells","3",0.0238095238095238,0.0119047619047619,0.0654761904761905,0.898809523809524
"614","6724_ID","PMCs","3",0.00106044538706257,0,0.00212089077412513,0.996818663838812
"615","6724_ID","Endothelial cells","3",0,0,0,1
"616","7100_ID","Early spermatids","2",0.00124069478908189,0.0142679900744417,0.000620347394540943,0.983870967741935
"617","7100_ID","Diff.spermatogonia/Preleptotene","2",0.941471571906355,0.0585284280936455,0,0
"618","7100_ID","Fibrotic peritubular myoid cells","2",0,0.0257731958762887,0,0.974226804123711
"619","7100_ID","Late spermatids","2",0.00407331975560081,0.0183299389002037,0.00152749490835031,0.976069246435845
"620","7100_ID","Leydig cells","2",0,0.0227272727272727,0,0.977272727272727
"621","7100_ID","Sertoli cells","2",0.0178571428571429,0.369047619047619,0,0.613095238095238
"622","7100_ID","Macrophages","2",0,0,0,1
"623","7100_ID","Pachytene","2",0.00402010050251256,0.04321608040201,0,0.952763819095477
"624","7100_ID","Meiotic divisions","2",0.0024588148512417,0.0472092451438407,0.00024588148512417,0.950086058519793
"625","7100_ID","PMCs","2",0.00212089077412513,0.0190880169671262,0.00212089077412513,0.976670201484624
"626","7100_ID","Endothelial cells","2",0,0.0493827160493827,0,0.950617283950617
"627","7100_ID","Leptotene","2",0.958605664488017,0.0392156862745098,0,0.0021786492374728
"628","7100_ID","Diplotene","2",0,0.0163934426229508,0,0.983606557377049
"629","7100_ID","Undifferentiated spermatogonia","2",0.808197989172467,0.17014694508894,0.0108275328692962,0.0108275328692963
"630","7100_ID","Zygotene","2",0.208116545265349,0.215400624349636,0.0166493236212279,0.559833506763788
"631","7271_ID","Early spermatids","3",0,0.0043424317617866,0,0.995657568238213
"632","7271_ID","Endothelial cells","3",0,0,0,1
"633","7271_ID","Pachytene","3",0,0.0050251256281407,0.00201005025125628,0.992964824120603
"634","7271_ID","Leydig cells","3",0,0.0227272727272727,0,0.977272727272727
"635","7271_ID","Sertoli cells","3",0,0.0178571428571429,0,0.982142857142857
